행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
전남도립국악단 토요가무악희 시즌2 그린국악 제959회,남도소리울림터 공연장,국악실내악+북과 북의 연대 울림+국악가요+단막창극+민요합창,2026-06-20,2026-06-20,16:00,17:10,유료,재단법인 전라남도문화재단+전라남도립국악단,전라남도청,061-981-6923,전라남도청,558,10000,6세 이상,대학생 및 단체(10인 이상) 7000원+학생 5000원+유료회원 5000원(풍류 4매+남도 2매)+경로(65세 이상) 및 미취학아동 무료+국가유공자 및 장애인 무료(동반 1인),,,https://www.ticketlink.co.kr/product/62748, ,전라남도 무안군 삼향읍 남악로 222,전라남도 무안군 삼향읍 남악리 2549,34.80497647,126.4629297,2026-06-04,6460000,전라남도
전남도립국악단 움직이는 가무악회 깍지손 국악,고흥과역중학교,깍지손 국악,2026-06-09,2026-06-09,11:00,12:00,무료,전라남도문화재단+전라남도립국악단+전라남도교육청,전라남도청,061-981-6923,전라남도청,558,무료,전연령,,,,, ,전라남도 고흥군 과역면 고흥로 2939-3,전라남도 고흥군 과역면 과역리 535,34.67567024,127.3579032,2026-06-04,6460000,전라남도
전남도립국악단 제2회 국악의 날 특집공연,남도소리울림터공연장,판페라 이순신+약무호남 시무국가,2026-06-06,2026-06-06,16:00,17:10,유료,재단법인 전라남도문화재단+전라남도립국악단,전라남도청,061-981-6923,전라남도청,558,10000,6세 이상,대학생 및 단체(10인 이상) 7000원+학생 5000원+유료회원 5000원(풍류 4매+남도 2매)+경로(65세 이상) 및 미취학아동 무료+국가유공자 및 장애인 무료(동반 1인),,,https://www.ticketlink.co.kr/product/62747, ,전라남도 무안군 삼향읍 남악로 222,전라남도 무안군 삼향읍 남악리 2549,34.80497647,126.4629297,2026-06-04,6460000,전라남도
전남도립국악단 토요가무악희 시즌2 그린국악 제960회,남도소리울림터 공연장,국악실내악+북과 북의 연대 울림+국악가요+단막창극+민요합창,2026-06-27,2026-06-27,16:00,17:10,유료,재단법인 전라남도문화재단+전라남도립국악단,전라남도청,061-981-6923,전라남도청,558,10000,6세 이상,대학생 및 단체(10인 이상) 7000원+학생 5000원+유료회원 5000원(풍류 4매+남도 2매)+경로(65세 이상) 및 미취학아동 무료+국가유공자 및 장애인 무료(동반 1인),,,https://www.ticketlink.co.kr/product/62749, ,전라남도 무안군 삼향읍 남악로 222,전라남도 무안군 삼향읍 남악리 2549,34.80497647,126.4629297,2026-06-04,6460000,전라남도
[국립인천해양박물관] 바다의 날 기념 제 1회 바다네컷 그리기 대회,국립인천해양박물관,대회,2026-05-30,2026-05-30,00:00,23:59,무료,국립인천해양박물관,국립인천해양박물관,,,,,0세 이상,,,,, ,인천광역시 중구 월미로 294,,37.47030028,126.59633847,2026-06-05,6280000,인천광역시
제14회 디아스포라영화제,인천아트플랫폼,축제,2026-05-22,2026-05-26,00:00,23:59,무료,인천광역시영상위원회,인천광역시,,,,,0세 이상,,,,, ,인천광역시 중구 제물량로218번길 3,,37.47278890,126.62060913,2026-06-05,6280000,인천광역시
2026년 차이나타운 문화행사 <차이나는 문화 공연>,차이나타운,문화행사,2026-04-18,2026-05-24,13:00,14:00,무료,인천광역시 중구청+인천중구문화재단,인천광역시 중구청+인천중구문화재단,,,,,0세 이상,,,,, ,인천광역시 중구 차이나타운로 41,,37.47563129,126.61985066,2026-06-05,6280000,인천광역시
2026 찾아가는 문화공연 <요기조기 데이>,인천아트플랫폼 중앙광장,축제,2026-05-23,2026-05-23,13:00,18:00,무료,인천광역시+인천문화재단,인천광역시+인천문화재단,,,,,0세 이상,,,,, ,인천광역시 중구 제물량로218번길 3,,37.47278890,126.62060913,2026-06-05,6280000,인천광역시
2026 전통성년식 참가자모집,청학문화센터,문화행사,2026-03-18,2026-05-16,08:00,13:00,무료,연수문화원,연수문화원,,,,,0세 이상,,,,, ,인천광역시 연수구 비류대로 299,,37.42630571,126.66766861,2026-06-05,6280000,인천광역시
2026 국립인천해양박물관 해양안전 체험행사 <안전海요> 특별교육 해양안전 골든벨,국립인천해양박물관,문화행사,2026-05-01,2026-05-02,11:00,12:00,무료,국립인천해양박물관,국립인천해양박물관,,,,,7세 이상,,,,, ,인천광역시 중구 월미로 294,,37.47030027,126.59633847,2026-06-05,6280000,인천광역시
판뮤지컬 <이상한 나라의 숨바꼭질>,트라이보울 공연장,뮤지컬,2026-06-13,2026-06-13,14:00,15:20,유료,인천경제자유구역청+인천문화재단+트라이보울,(재)예술경영지원센터,,,,,0세 이상,,,,, ,인천광역시 연수구 인천타워대로 250,,37.39411412,126.63502941,2026-06-05,6280000,인천광역시
오리지널 드로잉쇼,인천수봉문화회관 소극장,기타,2026-06-13,2026-06-13,15:00,23:59,유료,인천수봉문화회관,인천수봉문화회관,032-868-7196,,,,2세 이상,,,,, ,인천광역시 미추홀구 수봉안길 78,,37.46153323,126.66226280,2026-06-05,6280000,인천광역시
퍼포먼스 콘서트,인천광역시교육청 평생학습관 교육누리홀,기타,2026-06-18,2026-06-18,19:00,20:30,무료,인천광역시교육청평생학습관,인천광역시교육청평생학습관,032-899-1517,,,,8세 이상,,,,, ,인천광역시 연수구 경원대로 73,,37.39823080,126.67215895,2026-06-05,6280000,인천광역시
[국립인천해양박물관] 2026 문화행사 함께海요 - 인천시립극단 아동청소년극 완희와 털복숭이 괴물,국립인천해양박물관 대강당,연극,2026-06-19,2026-06-19,14:00,15:00,무료,국립인천해양박물관,인천시립예술단,032-468-5432,,,,6세 이상,,,,, ,인천광역시 중구 월미로 294,,37.47030028,126.59633847,2026-06-05,6280000,인천광역시
CELL,인천아트플랫폼 C동 공연장,무용,2026-06-20,2026-06-21,16:00,17:00,유료,박재이,박재이,,,,,7세 이상,,,,, ,인천광역시 중구 제물량로218번길 3,,37.47278890,126.62060913,2026-06-05,6280000,인천광역시
"트라이보울 시리즈 - BONANZA(보난자), 피리밴드 저클",트라이보울 공연장,국악+판소리,2026-06-24,2026-06-24,19:30,20:30,유료,인천경제자유구역청+인천문화재단+트라이보울,인천경제자유구역청+인천문화재단+트라이보울,032-832-7992,,,,5세 이상,,,,, ,인천광역시 연수구 인천타워대로 250,,37.39411412,126.63502941,2026-06-05,6280000,인천광역시
인천국악회관 기획공연 (소)통하는 (금)요일 국악렉처콘서트 - 두번째 이야기 MAFO Laure & 이범희의 앙상블 판소리,인천국악회관,국악+판소리,2026-06-04,2026-06-26,00:00,23:59,무료,인천국악회관,인천국악회관,032-876-8364,,,,8세 이상,,,,, ,인천광역시 미추홀구 수봉안길 78,,37.46153323,126.66226280,2026-06-05,6280000,인천광역시
인천국악회관 기획공연 (소)통하는 (금)요일 국악렉처콘서트 - 첫번째 이야기 아트컴퍼니 노드 Play in The 樂,국악회관 공연장,국악+판소리,2026-04-24,2026-10-23,00:00,23:59,무료,인천국악회관,인천국악회관,032-876-8364,,,,6세 이상,,,,, ,인천광역시 미추홀구 수봉안길 78,,37.46153323,126.66226280,2026-06-05,6280000,인천광역시
2026 수봉IN기획공연 시리즈,인천수봉문화회관 소극장,기타,2026-05-09,2026-10-24,15:00,16:00,유료,인천수봉문화회관,인천수봉문화회관,032-868-7196,,,,0세 이상,,,,, ,인천광역시 미추홀구 수봉안길 78,,37.46153323,126.66226280,2026-06-05,6280000,인천광역시
2026멍때림 실내악시리즈,멍때림 문화공간,클래식,2026-04-11,2026-10-31,14:00,14:30,무료,멍때림 문화공간,멍때림 문화공간,,,,,7세 이상,,,,, ,인천광역시 강화군 화도면 해안남로 1970-34,,37.60720717,126.41010474,2026-06-05,6280000,인천광역시
가족매직컬 <피터팬>,인천어린이과학관,아동,2026-05-09,2026-05-31,11:00,12:00,유료,하늘자전거+극단문+극단박장대소,하늘자전거+극단문+극단박장대소,,,,,2세 이상,,,,, ,인천광역시 계양구 방축로 21,,37.55157122,126.73994879,2026-06-05,6280000,인천광역시
